Symptom(s),Possible Disease,Precautions,Treatment
"Fatigue, Nosebleeds, Itchy Eyes",Stroke,Drink herbal tea,"Dietary Supplements, Emergency Medical Help, Psychotherapy"
"Low Blood Pressure, Mood Swings",Bronchitis,"Sleep properly, Wash hands frequently, Use sunscreen","Emergency Medical Help, Oxygen Therapy, Bone Marrow Transplant"
"Dizziness, Cough, Abdominal Pain, Muscle Weakness",Parkinson’s Disease,"Avoid crowded places, Reduce caffeine intake",Eye Drops
"Back Pain, Shortness of Breath",Lung Infection,"Sleep properly, Get proper nutrition",Antiviral Drugs
"Dizziness, Nosebleeds, Swelling in Legs, Numbness",PCOS,"Sleep properly, Reduce salt intake","Paracetamol, Inhalers"
"Swelling in Legs, Blurred Vision",Migraine,Wash hands frequently,Skin Creams
"Muscle Weakness, Abdominal Pain, Sore Throat",Anemia,"Use sunscreen, Eat healthy","Radiation Therapy, Steroids"
"Back Pain, Tremors",Arthritis,"Wash hands frequently, Exercise regularly",Steroids
"Itchy Eyes, Blurred Vision, Sweating",Diabetes,"Avoid alcohol, Monitor blood pressure",Insulin
"Sensitivity to Light, Muscle Weakness",Colon Cancer,Use mosquito repellent,Blood Thinners
"Difficulty Swallowing, High Blood Pressure, Shortness of Breath, Ear Pain",Tuberculosis,"Take vaccines, Avoid bright lights, Avoid alcohol",IV Fluids
"Tremors, Numbness",Meningitis,"Avoid crowded places, Avoid stress","Bone Marrow Transplant, Eye Drops, Antibiotics"
"Tingling Sensation, Frequent Urination, Itchy Eyes",Liver Disease,"Reduce sugar intake, Wear a mask, Meditate daily",Cognitive Therapy
"Chest Pain, Dry Skin, Nosebleeds, Back Pain",Arrhythmia,"Avoid alcohol, Wash hands frequently","Inhalers, Chemotherapy, Oxygen Therapy"
"Back Pain, Runny Nose",Pneumonia,"Use an inhaler, Monitor blood pressure",Anti-inflammatory Drugs
"Itchy Eyes, Mood Swings",Liver Disease,"Meditate daily, Use sunscreen","Vaccination, Oxygen Therapy"
"Mood Swings, Swollen Glands",Arrhythmia,"Monitor blood pressure, Get proper nutrition, Reduce sugar intake","Hormonal Therapy, Psychotherapy, Skin Creams"
"Fever, Mood Swings",Lupus,"Avoid allergens, Regular health checkups","Antiviral Drugs, Antifungal Medication"
"Swollen Glands, Memory Loss, Sweating, Cough",Malaria,Maintain hygiene,Physiotherapy
"Abdominal Pain, Dry Skin",Multiple Sclerosis,"Avoid crowded places, Use mosquito repellent, Use sunscreen","Hormonal Therapy, Skin Creams, Vaccination"
"Excessive Thirst, Itchy Eyes",Thyroid Disease,"Exercise regularly, Maintain hygiene","Oxygen Therapy, Blood Thinners"
"Diarrhea, Sore Throat, Sensitivity to Light",Anemia,"Monitor blood pressure, Regular health checkups, Reduce caffeine intake","Dietary Supplements, IV Fluids, Pacemaker Implantation"
"Back Pain, Rash, Tremors",Typhoid,Avoid stress,"Physiotherapy, Dietary Supplements"
"Nosebleeds, Memory Loss, Cough",Pancreatitis,"Regular health checkups, Reduce salt intake, Monitor blood pressure","Blood Thinners, Surgery, Vaccination"
"Cold Hands, Numbness, Ear Pain",Malaria,"Use sunscreen, Avoid smoking","Antibiotics, Antihistamines, Antiviral Drugs"
"Tremors, Nausea, Headache",Vertigo,"Regular health checkups, Reduce salt intake","Oral Rehydration, Antibiotics"
"Fatigue, Rash",Hypertension,"Reduce sugar intake, Monitor blood pressure, Exercise regularly","Surgery, Steroids, Cough Syrup"
"Blurred Vision, Memory Loss, Ear Pain",Colon Cancer,"Meditate daily, Reduce salt intake","Anti-inflammatory Drugs, Bone Marrow Transplant"
"Chest Pain, Low Blood Pressure, Runny Nose",Diabetes,Avoid stress,"Psychotherapy, Anti-inflammatory Drugs"
"Headache, Tremors, Weight Loss",Tuberculosis,"Sleep properly, Monitor blood pressure, Rest",Insulin
"Headache, Dizziness, Low Blood Pressure",Meningitis,Reduce caffeine intake,"Shockwave Therapy, Insulin, IV Fluids"
"Sneezing, Sweating, Swelling in Legs",Asthma,"Wash hands frequently, Avoid stress, Use mosquito repellent","Steroids, Antiviral Drugs, Bone Marrow Transplant"
"Swelling in Legs, Blurred Vision, Dizziness, Ear Pain",Tuberculosis,Avoid smoking,"Antifungal Medication, Emergency Medical Help"
"Low Blood Pressure, Sneezing, Heart Palpitations",Thyroid Disease,"Rest, Use an inhaler","Eye Drops, Insulin, Antibiotics"
"Cough, Mood Swings, Loss of Appetite",Dengue,"Take vaccines, Regular health checkups","Paracetamol, Pacemaker Implantation, Antihistamines"
"Blurred Vision, Fatigue, Sweating, Sensitivity to Light",Heart Attack,"Regular health checkups, Avoid bright lights, Avoid stress","Skin Creams, Hormonal Therapy, Cognitive Therapy"
"Cold Hands, Memory Loss, Chest Pain",Arrhythmia,"Avoid crowded places, Avoid bright lights, Use mosquito repellent","Psychotherapy, Vitamin Supplements"
"Itchy Eyes, Cough, Sneezing, Excessive Thirst",Leukemia,"Monitor blood pressure, Eat healthy","Oral Rehydration, Skin Creams, Physiotherapy"
"Fever, Sore Throat, Frequent Urination, Back Pain",Pancreatitis,"Maintain hygiene, Avoid allergens, Sleep properly",Insulin
"Loss of Appetite, Abdominal Pain, Swelling in Legs",Hypertension,Avoid alcohol,Painkillers
"Swelling in Legs, Blurred Vision, Dizziness, Memory Loss",Pancreatitis,Monitor blood pressure,"Blood Thinners, Cognitive Therapy"
"Fatigue, Abdominal Pain, Headache",Colon Cancer,"Sleep properly, Wash hands frequently",Painkillers
"Blurred Vision, Dizziness, Chest Pain",Meningitis,"Wash hands frequently, Reduce caffeine intake, Wear a mask","Blood Thinners, Bone Marrow Transplant"
"Abdominal Pain, Ear Pain, Dry Skin",Stroke,"Regular health checkups, Avoid bright lights",Oxygen Therapy
"Chest Pain, Fever, Headache",Arrhythmia,Get proper nutrition,Emergency Medical Help
"Sore Throat, Dry Skin",Vertigo,"Rest, Drink herbal tea, Wash hands frequently",Antifungal Medication
"Heart Palpitations, Abdominal Pain",Colon Cancer,"Exercise regularly, Stay hydrated","Inhalers, Cognitive Therapy, Paracetamol"
"High Blood Pressure, Swollen Glands, Sweating, Muscle Weakness",Arrhythmia,"Exercise regularly, Regular health checkups",IV Fluids
"Rash, Tingling Sensation, Sore Throat, Shortness of Breath",Heart Attack,Stay hydrated,"Cough Syrup, Vitamin Supplements"
"Chest Pain, Shortness of Breath, Swollen Glands, Loss of Appetite",Flu,Get proper nutrition,Chemotherapy
"Swelling in Legs, Sneezing",Asthma,"Maintain hygiene, Regular health checkups",Antibiotics
"High Blood Pressure, Chest Pain, Itchy Eyes",Thyroid Disease,"Wear a mask, Use sunscreen, Wash hands frequently",Emergency Medical Help
"Back Pain, Nosebleeds, Memory Loss, Cold Hands",Typhoid,"Avoid alcohol, Monitor blood pressure","Antihistamines, Dietary Supplements, Physiotherapy"
"Joint Pain, Muscle Weakness, Dry Skin",Pneumonia,"Reduce sugar intake, Take vaccines",Paracetamol
"Cough, Weight Loss, Fatigue",Liver Disease,Use an inhaler,Painkillers
"Frequent Urination, Fatigue, Dry Skin, Sweating",Tuberculosis,Exercise regularly,Vaccination
"Frequent Urination, Swelling in Legs, Chest Pain, Difficulty Swallowing",Multiple Sclerosis,"Eat healthy, Use mosquito repellent","Chemotherapy, Antibiotics"
"Memory Loss, Abdominal Pain",Food Poisoning,"Eat healthy, Avoid stress, Maintain hygiene",Cough Syrup
"Abdominal Pain, High Blood Pressure, Shortness of Breath",Sciatica,Regular health checkups,Oral Rehydration
"Nosebleeds, Sore Throat, Loss of Appetite",Multiple Sclerosis,"Use mosquito repellent, Meditate daily","Steroids, Emergency Medical Help, Inhalers"
"Tremors, Diarrhea",Dengue,"Regular health checkups, Avoid allergens, Rest",Dietary Supplements
"Fatigue, Excessive Thirst, Rash",Flu,"Meditate daily, Wear a mask","Skin Creams, Vaccination"
"Tremors, Swelling in Legs, Joint Pain, Diarrhea",Common Cold,"Avoid alcohol, Eat healthy","Skin Creams, Cough Syrup"
"Excessive Thirst, Runny Nose",Pneumonia,"Get proper nutrition, Drink herbal tea, Avoid smoking",Pacemaker Implantation
"Shortness of Breath, Cold Hands",Vertigo,Reduce sugar intake,Eye Drops
"Memory Loss, Tremors, Low Blood Pressure, Headache",Heart Attack,Sleep properly,"Oxygen Therapy, Bone Marrow Transplant, Paracetamol"
"Tremors, Back Pain, Blurred Vision",Stroke,Use mosquito repellent,"Blood Thinners, Oxygen Therapy, IV Fluids"
"Itchy Eyes, Joint Pain, Nausea, Back Pain",Liver Disease,Use mosquito repellent,"Steroids, Pacemaker Implantation, Antiviral Drugs"
"Abdominal Pain, Muscle Weakness",Malaria,"Eat healthy, Reduce salt intake, Stay hydrated","Shockwave Therapy, Cognitive Therapy, Radiation Therapy"
"Swollen Glands, Runny Nose, Joint Pain",Stroke,"Regular health checkups, Drink herbal tea",IV Fluids
"Fatigue, Diarrhea",Meningitis,"Exercise regularly, Maintain hygiene, Avoid smoking",IV Fluids
"Nausea, Joint Pain, Sore Throat, Heart Palpitations",Thyroid Disease,"Use an inhaler, Regular health checkups","Chemotherapy, Psychotherapy, Cognitive Therapy"
"Fatigue, Sneezing, Sensitivity to Light, Heart Palpitations",Asthma,"Drink herbal tea, Monitor blood pressure",Oral Rehydration
"Swollen Glands, Loss of Appetite, Memory Loss",Arrhythmia,Reduce sugar intake,Blood Thinners
"Difficulty Swallowing, Headache, Mood Swings",Epilepsy,Reduce salt intake,"Antifungal Medication, Eye Drops, IV Fluids"
"Cold Hands, Fever",Colon Cancer,"Avoid bright lights, Rest","Emergency Medical Help, Inhalers, Insulin"
"Heart Palpitations, High Blood Pressure, Loss of Appetite",Arrhythmia,Get proper nutrition,Oxygen Therapy
"Itchy Eyes, Sensitivity to Light, Cough, Muscle Weakness",Food Poisoning,Maintain hygiene,"Vaccination, Anti-inflammatory Drugs, Hormonal Therapy"
"Swollen Glands, Cold Hands, Rash",Sinusitis,"Drink herbal tea, Eat healthy, Use an inhaler","Radiation Therapy, Antiviral Drugs, Bone Marrow Transplant"
"Weight Loss, Mood Swings",Leukemia,Avoid bright lights,"Cough Syrup, Chemotherapy"
"Diarrhea, Swollen Glands",Lupus,"Rest, Regular health checkups, Wash hands frequently","Cognitive Therapy, Surgery"
"Difficulty Swallowing, Frequent Urination, Memory Loss",Diabetes,"Avoid stress, Sleep properly","Antiviral Drugs, Oxygen Therapy"
"Sore Throat, Runny Nose, Shortness of Breath",Hepatitis,Avoid crowded places,"Cognitive Therapy, Surgery, Antihistamines"
"Chest Pain, Nausea",Eczema,Reduce caffeine intake,"Paracetamol, Anti-inflammatory Drugs"
"Excessive Thirst, Fatigue",Typhoid,"Stay hydrated, Use an inhaler, Use sunscreen","Eye Drops, Surgery"
"Sneezing, Abdominal Pain",Tuberculosis,"Rest, Maintain hygiene","Vitamin Supplements, Hormonal Therapy, Emergency Medical Help"
"Back Pain, Sensitivity to Light, Dizziness, Nosebleeds",Arrhythmia,"Wash hands frequently, Regular health checkups","Painkillers, Psychotherapy"
"Nosebleeds, Blurred Vision, Shortness of Breath",Asthma,Meditate daily,Oxygen Therapy
"Joint Pain, Cold Hands, Headache, Rash",Lupus,"Wash hands frequently, Avoid crowded places, Use mosquito repellent","Vitamin Supplements, Vaccination"
"Nosebleeds, Itchy Eyes, Blurred Vision, Loss of Appetite",Kidney Stones,"Reduce salt intake, Rest, Avoid smoking",Skin Creams
"Chest Pain, Diarrhea",Multiple Sclerosis,"Avoid crowded places, Drink herbal tea, Reduce sugar intake",Surgery
"Back Pain, Runny Nose, Nosebleeds",Multiple Sclerosis,"Reduce sugar intake, Avoid stress","Painkillers, Oral Rehydration, Antiviral Drugs"
"Swollen Glands, Mood Swings",Pneumonia,"Reduce salt intake, Avoid smoking, Use an inhaler",Eye Drops
"Excessive Thirst, Rash, Swelling in Legs, Sore Throat",Lupus,Avoid allergens,Painkillers
"Tingling Sensation, High Blood Pressure, Headache, Low Blood Pressure",Sciatica,"Use mosquito repellent, Reduce sugar intake","Radiation Therapy, IV Fluids, Shockwave Therapy"
"Itchy Eyes, Muscle Weakness, Swelling in Legs",Food Poisoning,Meditate daily,Radiation Therapy
"Fever, Blurred Vision",Anemia,"Rest, Avoid crowded places, Use an inhaler","Physiotherapy, IV Fluids, Antibiotics"
"Abdominal Pain, Rash, Loss of Appetite, Itchy Eyes",Migraine,"Avoid allergens, Reduce caffeine intake","Antiviral Drugs, Oral Rehydration, Surgery"
"Dry Skin, Sensitivity to Light, Excessive Thirst",Arrhythmia,"Stay hydrated, Rest, Use an inhaler",Cough Syrup
"Nausea, Sweating, Dizziness, Difficulty Swallowing",Pneumonia,"Wash hands frequently, Avoid stress","Cough Syrup, Oxygen Therapy"
"Nausea, Back Pain, Abdominal Pain, High Blood Pressure",Hepatitis,"Avoid allergens, Eat healthy, Meditate daily",Dietary Supplements
"Excessive Thirst, Sweating, Heart Palpitations",Colon Cancer,"Wear a mask, Reduce salt intake, Maintain hygiene",Painkillers
"Dizziness, Muscle Weakness, Sneezing",Lupus,Take vaccines,"Paracetamol, Skin Creams, Anti-inflammatory Drugs"
"Rash, Tremors",Mental Stress,"Eat healthy, Take vaccines",Cognitive Therapy
"Dizziness, Dry Skin",Typhoid,Avoid allergens,"Shockwave Therapy, Antihistamines"
"Fever, Dizziness, Ear Pain, Runny Nose",Eczema,"Avoid bright lights, Wear a mask, Reduce sugar intake",Cognitive Therapy
"Tremors, Muscle Weakness, Chest Pain",Typhoid,"Use mosquito repellent, Regular health checkups","Psychotherapy, Inhalers, Chemotherapy"
"Runny Nose, Cold Hands",Thyroid Disease,"Wash hands frequently, Take vaccines","Cognitive Therapy, Chemotherapy, Inhalers"
"Swelling in Legs, Tremors",Heart Attack,"Avoid bright lights, Exercise regularly, Rest","Vitamin Supplements, Antifungal Medication"
"Loss of Appetite, Nausea",Pancreatitis,"Stay hydrated, Avoid stress",Shockwave Therapy
"Sweating, Ear Pain, Tingling Sensation",Flu,"Avoid crowded places, Sleep properly, Use sunscreen","Radiation Therapy, Pacemaker Implantation, Steroids"
"Diarrhea, Runny Nose, Mood Swings, Swollen Glands",Mental Stress,"Drink herbal tea, Wear a mask, Reduce sugar intake",Dietary Supplements
"Numbness, Sensitivity to Light, Nausea",Common Cold,Drink herbal tea,"Antibiotics, Pacemaker Implantation, Steroids"
"Heart Palpitations, Runny Nose, Abdominal Pain, Itchy Eyes",PCOS,Maintain hygiene,Oral Rehydration
"Mood Swings, Weight Loss",Arrhythmia,"Drink herbal tea, Eat healthy","Antiviral Drugs, Oral Rehydration, Radiation Therapy"
"Sweating, Chest Pain, Rash, Dry Skin",Diabetes,Avoid alcohol,Chemotherapy
"Headache, Cold Hands, Muscle Weakness",Pneumonia,"Get proper nutrition, Meditate daily, Avoid crowded places",Vaccination
"Shortness of Breath, Swollen Glands, Joint Pain",Brain Tumor,"Meditate daily, Use mosquito repellent, Regular health checkups","Pacemaker Implantation, Cognitive Therapy"
"Nosebleeds, Heart Palpitations, Frequent Urination, Loss of Appetite",Hepatitis,Wash hands frequently,Antifungal Medication
"Memory Loss, Tingling Sensation, Loss of Appetite",Eczema,"Sleep properly, Reduce salt intake","Shockwave Therapy, Blood Thinners"
"Fever, Chest Pain, Swollen Glands",Brain Tumor,"Wash hands frequently, Reduce salt intake","Radiation Therapy, Shockwave Therapy"
"Loss of Appetite, Cough",Kidney Stones,"Regular health checkups, Avoid alcohol",Painkillers
"Low Blood Pressure, Runny Nose, Frequent Urination, Ear Pain",Flu,Rest,"Insulin, Inhalers"
"Back Pain, Dry Skin",Parkinson’s Disease,"Regular health checkups, Avoid crowded places, Meditate daily","Antiviral Drugs, Chemotherapy"
"Tingling Sensation, Numbness, Ear Pain, Chest Pain",Anemia,"Wear a mask, Reduce caffeine intake, Wash hands frequently","Dietary Supplements, Psychotherapy"
"Heart Palpitations, Ear Pain",Lupus,"Reduce sugar intake, Avoid allergens, Maintain hygiene","Physiotherapy, Antihistamines"
"Difficulty Swallowing, Headache, Dry Skin",Sciatica,"Eat healthy, Maintain hygiene, Regular health checkups","Antihistamines, Emergency Medical Help"
"Swollen Glands, Frequent Urination, Dry Skin, Excessive Thirst",Eczema,Rest,"Cough Syrup, Dietary Supplements"
"Low Blood Pressure, Loss of Appetite, Swelling in Legs",Lupus,Avoid smoking,"Steroids, Bone Marrow Transplant"
"Low Blood Pressure, Tingling Sensation",Tuberculosis,"Monitor blood pressure, Eat healthy, Maintain hygiene","Oxygen Therapy, Pacemaker Implantation"
"Abdominal Pain, Fatigue, Cough",Dengue,"Reduce salt intake, Meditate daily, Avoid stress","Surgery, Pacemaker Implantation"
"Fatigue, Cold Hands",Epilepsy,"Avoid alcohol, Rest","Oxygen Therapy, Oral Rehydration"
"Shortness of Breath, Sneezing",Migraine,"Use mosquito repellent, Wash hands frequently, Eat healthy",Hormonal Therapy
"Sore Throat, Loss of Appetite, Cold Hands",Epilepsy,Get proper nutrition,"Steroids, Cognitive Therapy"
"High Blood Pressure, Heart Palpitations, Cold Hands, Back Pain",Anemia,"Reduce salt intake, Meditate daily","Oxygen Therapy, Cognitive Therapy, Psychotherapy"
"Loss of Appetite, Mood Swings",Stroke,Stay hydrated,"Emergency Medical Help, Inhalers, Antibiotics"
"Swollen Glands, Fever, Fatigue, Headache",PCOS,Reduce salt intake,"Physiotherapy, Skin Creams"
"Rash, Sneezing, Difficulty Swallowing",Migraine,"Regular health checkups, Rest",Vaccination
"Fever, Sore Throat, Swollen Glands, Excessive Thirst",Heart Attack,"Wear a mask, Use an inhaler, Use sunscreen","Oxygen Therapy, Vitamin Supplements"
"Cold Hands, Muscle Weakness, Swollen Glands",Anemia,Wash hands frequently,"Antifungal Medication, Shockwave Therapy, Antibiotics"
"Cough, Dizziness, Back Pain, Frequent Urination",Mental Stress,Regular health checkups,"Radiation Therapy, Eye Drops, Surgery"
"Sore Throat, Ear Pain",Sciatica,"Regular health checkups, Meditate daily, Reduce caffeine intake","Steroids, Antibiotics"
"Sweating, Blurred Vision, Nosebleeds",Heart Attack,"Use sunscreen, Avoid bright lights, Stay hydrated","Emergency Medical Help, Insulin"
"Headache, Memory Loss, Low Blood Pressure",Arrhythmia,"Wear a mask, Stay hydrated","Blood Thinners, Psychotherapy, Antihistamines"
"Sneezing, Tremors, Mood Swings, Difficulty Swallowing",Liver Disease,"Monitor blood pressure, Avoid alcohol",Eye Drops
"Swollen Glands, Abdominal Pain",Diabetes,"Use an inhaler, Reduce salt intake",Anti-inflammatory Drugs
"Back Pain, Difficulty Swallowing, Muscle Weakness, Diarrhea",Bronchitis,"Avoid stress, Exercise regularly, Reduce caffeine intake",Emergency Medical Help
"Tremors, Sore Throat",Parkinson’s Disease,"Avoid bright lights, Take vaccines, Rest",Pacemaker Implantation
"Diarrhea, Weight Loss, Nosebleeds, Ear Pain",Lupus,Use sunscreen,IV Fluids
"Excessive Thirst, Ear Pain, Rash, Swelling in Legs",Dengue,"Use sunscreen, Take vaccines, Monitor blood pressure",Skin Creams
"Ear Pain, Runny Nose, Itchy Eyes, Nosebleeds",Arrhythmia,"Use mosquito repellent, Wear a mask, Get proper nutrition","Radiation Therapy, Cognitive Therapy, Skin Creams"
"Cough, Fatigue, Chest Pain",Epilepsy,"Exercise regularly, Avoid crowded places","Anti-inflammatory Drugs, Pacemaker Implantation, Skin Creams"
"Nosebleeds, Sensitivity to Light, High Blood Pressure, Tingling Sensation",Stroke,"Use sunscreen, Rest, Sleep properly","Oxygen Therapy, Emergency Medical Help"
"Weight Loss, Tremors, Headache, Abdominal Pain",Arrhythmia,"Rest, Drink herbal tea","Oral Rehydration, Chemotherapy, Surgery"
"Dry Skin, Diarrhea, Tingling Sensation, High Blood Pressure",Bronchitis,"Monitor blood pressure, Wear a mask, Reduce caffeine intake","Vaccination, Dietary Supplements, Anti-inflammatory Drugs"
"Shortness of Breath, Weight Loss, Sore Throat",Stroke,"Avoid stress, Stay hydrated",Eye Drops
"Heart Palpitations, Mood Swings, High Blood Pressure",Typhoid,Drink herbal tea,"Antihistamines, Cough Syrup, Vitamin Supplements"
"Sneezing, High Blood Pressure, Sore Throat, Headache",Mental Stress,"Avoid smoking, Rest, Stay hydrated","Oxygen Therapy, Emergency Medical Help"
"Numbness, Mood Swings",Lung Infection,Use mosquito repellent,"Oxygen Therapy, Shockwave Therapy, Emergency Medical Help"
"Back Pain, Fever, Dizziness, Cold Hands",Migraine,"Wash hands frequently, Eat healthy, Monitor blood pressure","Steroids, Painkillers, Bone Marrow Transplant"
"Numbness, Tremors, Swelling in Legs",Arthritis,"Avoid alcohol, Reduce caffeine intake, Sleep properly","Antihistamines, Vitamin Supplements, Eye Drops"
"Cold Hands, Rash, Swelling in Legs",Typhoid,"Avoid allergens, Exercise regularly, Avoid bright lights","Anti-inflammatory Drugs, Emergency Medical Help"
"Tremors, Heart Palpitations",Mental Stress,"Avoid bright lights, Rest","Blood Thinners, Paracetamol"
"High Blood Pressure, Ear Pain",Kidney Stones,"Avoid alcohol, Avoid allergens","Hormonal Therapy, Chemotherapy, Paracetamol"
"Joint Pain, Shortness of Breath",Arthritis,"Maintain hygiene, Drink herbal tea",Paracetamol
"Cold Hands, Shortness of Breath, Tremors, Ear Pain",Lupus,Exercise regularly,"Inhalers, Emergency Medical Help"
"Tremors, Nausea, Sweating",Multiple Sclerosis,"Use an inhaler, Avoid stress","Cognitive Therapy, Radiation Therapy"
"Difficulty Swallowing, Nosebleeds, Nausea",Brain Tumor,"Monitor blood pressure, Reduce caffeine intake","Oxygen Therapy, Skin Creams"
"Cough, Fatigue, Nosebleeds",Sinusitis,Avoid smoking,"Antibiotics, IV Fluids"
"Rash, Numbness, Tingling Sensation, Swollen Glands",Diabetes,"Use sunscreen, Avoid alcohol, Reduce salt intake",Physiotherapy
"Sweating, Back Pain",PCOS,"Avoid crowded places, Rest","Surgery, Pacemaker Implantation"
"Numbness, Sneezing, Frequent Urination, Dizziness",Common Cold,"Rest, Monitor blood pressure, Stay hydrated",Pacemaker Implantation
"Swollen Glands, Shortness of Breath, Muscle Weakness",Food Poisoning,"Get proper nutrition, Eat healthy","Paracetamol, Cough Syrup, Blood Thinners"
"Nausea, Rash, Swelling in Legs, Blurred Vision",Lung Infection,Meditate daily,"Surgery, Radiation Therapy"
"Sweating, Ear Pain, Heart Palpitations",Sinusitis,"Rest, Avoid alcohol, Eat healthy","Blood Thinners, Steroids, Antifungal Medication"
"Runny Nose, Cold Hands",Leukemia,Use an inhaler,Shockwave Therapy
"Chest Pain, Ear Pain",Liver Disease,"Stay hydrated, Sleep properly",Eye Drops
"Muscle Weakness, Sweating, Tremors",Common Cold,"Stay hydrated, Wear a mask, Use sunscreen","Eye Drops, Oral Rehydration"
"Shortness of Breath, Difficulty Swallowing, Weight Loss, Diarrhea",Anemia,"Avoid smoking, Use sunscreen, Monitor blood pressure",Oral Rehydration
"Mood Swings, Heart Palpitations, Nosebleeds",Asthma,"Take vaccines, Reduce salt intake, Monitor blood pressure","Psychotherapy, Oxygen Therapy, Chemotherapy"
"Loss of Appetite, Back Pain",Malaria,"Regular health checkups, Get proper nutrition, Rest",Antiviral Drugs
"Nausea, Cough, Excessive Thirst",Glaucoma,"Take vaccines, Stay hydrated, Meditate daily","Blood Thinners, Chemotherapy, Pacemaker Implantation"
"Sweating, High Blood Pressure",Eczema,Get proper nutrition,"Radiation Therapy, Emergency Medical Help"
"Dry Skin, Rash, Tremors, Diarrhea",Malaria,"Avoid smoking, Wash hands frequently",Cough Syrup
"High Blood Pressure, Sneezing, Dizziness",Flu,Use an inhaler,"Antifungal Medication, Steroids, Painkillers"
"Loss of Appetite, High Blood Pressure, Mood Swings, Swollen Glands",Tuberculosis,Sleep properly,"Radiation Therapy, Vaccination, Paracetamol"
"Shortness of Breath, Chest Pain, Ear Pain, Muscle Weakness",Diabetes,"Use sunscreen, Eat healthy, Wash hands frequently","Steroids, Bone Marrow Transplant"
"Excessive Thirst, Fatigue, Swollen Glands",Leukemia,"Rest, Avoid smoking",Chemotherapy
"Abdominal Pain, Frequent Urination",Parkinson’s Disease,Reduce sugar intake,Hormonal Therapy
"Joint Pain, Heart Palpitations",Asthma,"Avoid allergens, Stay hydrated","Bone Marrow Transplant, Inhalers, Emergency Medical Help"
"Dizziness, Mood Swings, Abdominal Pain, Runny Nose",Migraine,"Regular health checkups, Meditate daily, Reduce salt intake","Antifungal Medication, Radiation Therapy, Antiviral Drugs"
"Joint Pain, Sore Throat, Fever, High Blood Pressure",Pneumonia,"Take vaccines, Regular health checkups, Meditate daily",Steroids
"Back Pain, Sensitivity to Light, Dizziness",PCOS,Avoid alcohol,"Psychotherapy, Hormonal Therapy"
"Low Blood Pressure, Mood Swings, Ear Pain, Nosebleeds",Brain Tumor,Wash hands frequently,"Inhalers, Oral Rehydration, Vaccination"
"Back Pain, Cough, Heart Palpitations",Hypertension,Use sunscreen,Pacemaker Implantation
"Loss of Appetite, Dry Skin, Cough",Liver Disease,"Drink herbal tea, Wash hands frequently","Antihistamines, Surgery, Shockwave Therapy"
"Nausea, Mood Swings, Sensitivity to Light",Anemia,Get proper nutrition,"Vaccination, Pacemaker Implantation"
"Sensitivity to Light, Runny Nose",Glaucoma,Reduce caffeine intake,"Pacemaker Implantation, Antihistamines"
"Shortness of Breath, Runny Nose, Ear Pain, Loss of Appetite",Arthritis,"Avoid stress, Take vaccines, Regular health checkups","Steroids, Antiviral Drugs"
"Rash, Dry Skin, Sweating",Sinusitis,Monitor blood pressure,"Dietary Supplements, Shockwave Therapy, Surgery"
"Numbness, Dry Skin, Ear Pain",Migraine,Drink herbal tea,"Emergency Medical Help, Surgery"
"Rash, Blurred Vision, Nausea, Headache",Kidney Stones,Stay hydrated,Oral Rehydration
"Swelling in Legs, Nosebleeds, Loss of Appetite",Bronchitis,"Avoid smoking, Meditate daily, Avoid stress","Chemotherapy, Inhalers"
"Joint Pain, Shortness of Breath",Parkinson’s Disease,"Meditate daily, Drink herbal tea",Psychotherapy
"Sensitivity to Light, Back Pain",Colon Cancer,"Meditate daily, Stay hydrated, Use mosquito repellent","Oral Rehydration, Bone Marrow Transplant, Antibiotics"
"Swollen Glands, Rash, Cold Hands",Liver Disease,"Avoid allergens, Use an inhaler","Skin Creams, Hormonal Therapy"
"Runny Nose, Difficulty Swallowing",Dengue,"Rest, Avoid allergens","Emergency Medical Help, Anti-inflammatory Drugs, Oral Rehydration"
"Cold Hands, Mood Swings",Eczema,Stay hydrated,"Vaccination, Eye Drops"
"Sore Throat, Chest Pain",Bronchitis,"Use an inhaler, Eat healthy","Bone Marrow Transplant, IV Fluids"
"Mood Swings, Nosebleeds",Arthritis,"Stay hydrated, Use mosquito repellent","Chemotherapy, Vitamin Supplements, Steroids"
"Cough, Itchy Eyes",Diabetes,"Avoid allergens, Use sunscreen",Physiotherapy
"Ear Pain, Headache",Tuberculosis,"Drink herbal tea, Reduce sugar intake, Exercise regularly",Paracetamol
"Blurred Vision, Fatigue, Cough",Colon Cancer,"Avoid alcohol, Reduce salt intake, Maintain hygiene","Bone Marrow Transplant, Emergency Medical Help"
"High Blood Pressure, Frequent Urination, Tremors",Typhoid,"Exercise regularly, Avoid allergens, Avoid crowded places",Steroids
"Swollen Glands, Tingling Sensation",Parkinson’s Disease,"Drink herbal tea, Avoid crowded places, Regular health checkups","IV Fluids, Shockwave Therapy"
"Headache, Dizziness",Parkinson’s Disease,"Exercise regularly, Avoid bright lights, Drink herbal tea","Steroids, Surgery"
"High Blood Pressure, Itchy Eyes, Abdominal Pain",Colon Cancer,"Sleep properly, Get proper nutrition","Psychotherapy, Antibiotics"
"Ear Pain, Blurred Vision, Cold Hands, Abdominal Pain",PCOS,Meditate daily,"Insulin, Anti-inflammatory Drugs, Steroids"
